command,family,name,audience,privilege,status,source_line,note
accept/announce,accept,announce,DUAL,0 / 8,verified,124,User form plus SYSOP form for another callsign/default filter.
accept/rbn,accept,rbn,DUAL,0 / 8,verified,125,User form plus SYSOP form for another callsign/default filter.
accept/route,accept,route,SYSOP,8,verified,126,
accept/spots,accept,spots,DUAL,0 / 8,verified,127,User form plus SYSOP form for another callsign/default filter.
accept/wcy,accept,wcy,DUAL,0 / 8,verified,128,User form plus SYSOP form for another callsign/default filter.
accept/wwv,accept,wwv,DUAL,0 / 8,verified,129,User form plus SYSOP form for another callsign/default filter.
clear/announce,clear,announce,DUAL,0 / 8,verified,124,User form plus SYSOP form for another callsign/default filter.
clear/cmd_cache,clear,cmd_cache,REVIEW,,not_yet_verified,130,Requires current help/code verification before publication.
clear/dupefile,clear,dupefile,REVIEW,,not_yet_verified,131,Requires current help/code verification before publication.
clear/rbn,clear,rbn,REVIEW,,not_yet_verified,125,Requires current help/code verification before publication.
clear/route,clear,route,REVIEW,,not_yet_verified,126,Requires current help/code verification before publication.
clear/spots,clear,spots,DUAL,0 / 8,verified,127,User form plus SYSOP form for another callsign/default filter.
clear/wcy,clear,wcy,DUAL,0 / 8,verified,128,User form plus SYSOP form for another callsign/default filter.
clear/wwv,clear,wwv,DUAL,0 / 8,verified,129,User form plus SYSOP form for another callsign/default filter.
create/user,create,user,SYSOP,5,verified,136,
delete/usdb,delete,usdb,SYSOP,9,verified,137,
delete/user,delete,user,SYSOP,9,verified,136,
disable/autoftx,disable,autoftx,USER,0,verified,142,
disable/ftx,disable,ftx,USER,0,verified,143,
enable/autoftx,enable,autoftx,USER,0,verified,142,
enable/ftx,enable,ftx,USER,0,verified,143,
forward/latlong,forward,latlong,REVIEW,,not_yet_verified,148,Requires current help/code verification before publication.
forward/opername,forward,opername,REVIEW,,not_yet_verified,149,Requires current help/code verification before publication.
get/keps,get,keps,REVIEW,,not_yet_verified,154,Requires current help/code verification before publication.
load/aliases,load,aliases,REVIEW,,not_yet_verified,173,Requires current help/code verification before publication.
load/badip,load,badip,REVIEW,,not_yet_verified,174,Requires current help/code verification before publication.
load/badmsg,load,badmsg,REVIEW,,not_yet_verified,175,Requires current help/code verification before publication.
load/badwords,load,badwords,REVIEW,,not_yet_verified,176,Requires current help/code verification before publication.
load/bands,load,bands,REVIEW,,not_yet_verified,177,Requires current help/code verification before publication.
load/cmd_cache,load,cmd_cache,REVIEW,,not_yet_verified,178,Requires current help/code verification before publication.
load/db,load,db,REVIEW,,not_yet_verified,179,Requires current help/code verification before publication.
load/dxqsl,load,dxqsl,REVIEW,,not_yet_verified,180,Requires current help/code verification before publication.
load/forward,load,forward,REVIEW,,not_yet_verified,181,Requires current help/code verification before publication.
load/hops,load,hops,REVIEW,,not_yet_verified,182,Requires current help/code verification before publication.
load/keps,load,keps,REVIEW,,not_yet_verified,183,Requires current help/code verification before publication.
load/messages,load,messages,REVIEW,,not_yet_verified,184,Requires current help/code verification before publication.
load/prefixes,load,prefixes,REVIEW,,not_yet_verified,185,Requires current help/code verification before publication.
load/qsl,load,qsl,REVIEW,,not_yet_verified,186,Requires current help/code verification before publication.
load/swop,load,swop,REVIEW,,not_yet_verified,187,Requires current help/code verification before publication.
load/usdb,load,usdb,REVIEW,,not_yet_verified,188,Requires current help/code verification before publication.
reject/announce,reject,announce,DUAL,0 / 8,verified,124,User form plus SYSOP form for another callsign/default filter.
reject/rbn,reject,rbn,DUAL,0 / 8,verified,125,User form plus SYSOP form for another callsign/default filter.
reject/route,reject,route,SYSOP,8,verified,126,
reject/spots,reject,spots,DUAL,0 / 8,verified,127,User form plus SYSOP form for another callsign/default filter.
reject/wcy,reject,wcy,DUAL,0 / 8,verified,128,User form plus SYSOP form for another callsign/default filter.
reject/wwv,reject,wwv,DUAL,0 / 8,verified,129,User form plus SYSOP form for another callsign/default filter.
set/address,set,address,USER,0,verified,5,
set/agwengine,set,agwengine,SYSOP,9,verified,6,
set/agwmonitor,set,agwmonitor,SYSOP,9,verified,7,
set/announce,set,announce,USER,0,verified,4,
set/anntalk,set,anntalk,USER,0,verified,8,
set/arcluster,set,arcluster,SYSOP,5,verified,9,
set/baddx,set,baddx,SYSOP,6,verified,10,
set/badip,set,badip,SYSOP,6,verified,11,
set/badnode,set,badnode,SYSOP,6,verified,12,
set/badspotter,set,badspotter,SYSOP,6,verified,13,
set/badword,set,badword,SYSOP,6,verified,14,
set/bbs,set,bbs,SYSOP,5,verified,16,
set/beep,set,beep,USER,0,verified,17,
set/believe,set,believe,REVIEW,,not_yet_verified,18,Requires current help/code verification before publication.
set/buddy,set,buddy,USER,0,verified,19,
set/ccluster,set,ccluster,SYSOP,5,verified,20,
set/clx,set,clx,SYSOP,5,verified,,
set/debug,set,debug,SYSOP,9,verified,30,
set/dx,set,dx,USER,0,verified,37,
set/dxcq,set,dxcq,USER,0,verified,38,
set/dxgrid,set,dxgrid,USER,0,verified,39,
set/dxitu,set,dxitu,USER,0,verified,40,
set/dxnet,set,dxnet,SYSOP,5,verified,41,
set/echo,set,echo,USER,0,verified,44,
set/email,set,email,USER,0,verified,45,
set/external_ip,set,external_ip,REVIEW,,not_yet_verified,46,Requires current help/code verification before publication.
set/gtk,set,gtk,REVIEW,,not_yet_verified,51,Requires current help/code verification before publication.
set/here,set,here,USER,0,verified,53,
set/homebbs,set,homebbs,USER,code: current user,code_verified_help_missing,,Exists in code; sets and persists current user's home BBS; absent from help/manual/wiki.
set/homenode,set,homenode,USER,0,verified,,
set/hops,set,hops,SYSOP,8,verified,56,
set/isolate,set,isolate,SYSOP,9,verified,58,
set/language,set,language,USER,0,verified,59,
set/local_node,set,local_node,SYSOP,5,verified,60,
set/location,set,location,USER,0,verified,61,
set/lockout,set,lockout,SYSOP,9,verified,62,
set/logininfo,set,logininfo,USER,0,verified,63,
set/maxconnect,set,maxconnect,SYSOP,8,verified,65,
set/name,set,name,USER,0,verified,70,
set/node,set,node,SYSOP,5,verified,72,
