family,name,command,source_line
accept,announce,accept/announce,124
accept,rbn,accept/rbn,125
accept,route,accept/route,126
accept,spots,accept/spots,127
accept,wcy,accept/wcy,128
accept,wwv,accept/wwv,129
clear,announce,clear/announce,124
clear,cmd_cache,clear/cmd_cache,130
clear,dupefile,clear/dupefile,131
clear,rbn,clear/rbn,125
clear,route,clear/route,126
clear,spots,clear/spots,127
clear,wcy,clear/wcy,128
clear,wwv,clear/wwv,129
create,user,create/user,136
delete,usdb,delete/usdb,137
delete,user,delete/user,136
disable,autoftx,disable/autoftx,142
disable,ftx,disable/ftx,143
enable,autoftx,enable/autoftx,142
enable,ftx,enable/ftx,143
forward,latlong,forward/latlong,148
forward,opername,forward/opername,149
get,keps,get/keps,154
load,aliases,load/aliases,173
load,badip,load/badip,174
load,badmsg,load/badmsg,175
load,badwords,load/badwords,176
load,bands,load/bands,177
load,cmd_cache,load/cmd_cache,178
load,db,load/db,179
load,dxqsl,load/dxqsl,180
load,forward,load/forward,181
load,hops,load/hops,182
load,keps,load/keps,183
load,messages,load/messages,184
load,prefixes,load/prefixes,185
load,qsl,load/qsl,186
load,swop,load/swop,187
load,usdb,load/usdb,188
reject,announce,reject/announce,124
reject,rbn,reject/rbn,125
reject,route,reject/route,126
reject,spots,reject/spots,127
reject,wcy,reject/wcy,128
reject,wwv,reject/wwv,129
set,address,set/address,5
set,agwengine,set/agwengine,6
set,agwmonitor,set/agwmonitor,7
set,announce,set/announce,4
set,anntalk,set/anntalk,8
set,arcluster,set/arcluster,9
set,baddx,set/baddx,10
set,badip,set/badip,11
set,badnode,set/badnode,12
set,badspotter,set/badspotter,13
set,badword,set/badword,14
set,bbs,set/bbs,16
set,beep,set/beep,17
set,believe,set/believe,18
set,buddy,set/buddy,19
set,ccluster,set/ccluster,20
set,clx,set/clx,
set,debug,set/debug,30
set,dx,set/dx,37
set,dxcq,set/dxcq,38
set,dxgrid,set/dxgrid,39
set,dxitu,set/dxitu,40
set,dxnet,set/dxnet,41
set,echo,set/echo,44
set,email,set/email,45
set,external_ip,set/external_ip,46
set,gtk,set/gtk,51
set,here,set/here,53
set,homebbs,set/homebbs,
set,homenode,set/homenode,
set,hops,set/hops,56
set,isolate,set/isolate,58
set,language,set/language,59
set,local_node,set/local_node,60
set,location,set/location,61
set,lockout,set/lockout,62
set,logininfo,set/logininfo,63
set,maxconnect,set/maxconnect,65
set,name,set/name,70
set,node,set/node,72
set,obscount,set/obscount,73
set,page,set/page,74
set,passphrase,set/passphrase,75
set,password,set/password,76
set,pinginterval,set/pinginterval,77
set,privilege,set/privilege,79
set,prompt,set/prompt,81
set,qra,set/qra,82
set,qth,set/qth,84
set,rbn,set/rbn,85
set,register,set/register,86
set,routepc19,set/routepc19,88
set,seeme,set/seeme,92
set,seemee,set/seemee,93
set,send_dbg,set/send_dbg,94
set,sendpc16,set/sendpc16,95
set,spider,set/spider,96
set,startup,set/startup,98
set,sys_location,set/sys_location,
set,sys_qra,set/sys_qra,
set,talk,set/talk,101
set,usdb,set/usdb,103
set,user,set/user,104
set,uservar,set/uservar,105
set,usstate,set/usstate,106
set,var,set/var,107
set,ve7cc,set/ve7cc,108
set,wantpc16,set/wantpc16,112
set,wantpc9x,set/wantpc9x,113
set,wantrbn,set/wantrbn,114
set,wcy,set/wcy,115
set,width,set/width,116
set,wwv,set/wwv,118
set,wx,set/wx,119
show,425,show/425,3
show,announce,show/announce,4
show,baddx,show/baddx,10
show,badip,show/badip,11
show,badnode,show/badnode,12
show,badspotter,show/badspotter,13
show,badword,show/badword,14
show,bands,show/bands,15
show,buddy,show/buddy,19
show,chat,show/chat,21
show,cluster,show/cluster,22
show,cmd_cache,show/cmd_cache,23
show,configuration,show/configuration,24
show,connect,show/connect,25
show,contest,show/contest,26
show,data_stats,show/data_stats,27
show,date,show/date,28
show,db0sdx,show/db0sdx,29
show,debug,show/debug,30
show,debug_ring,show/debug_ring,31
show,dup_ann,show/dup_ann,32
show,dup_eph,show/dup_eph,33
show,dup_spots,show/dup_spots,34
show,dup_wcy,show/dup_wcy,35
show,dup_wwv,show/dup_wwv,36
show,dx,show/dx,37
show,dxqsl,show/dxqsl,42
show,dxstats,show/dxstats,43
show,external_ip,show/external_ip,46
show,files,show/files,47
show,filter,show/filter,48
show,grayline,show/grayline,49
show,groups,show/groups,50
show,heading,show/heading,52
show,hfstats,show/hfstats,54
show,hftable,show/hftable,55
show,hops,show/hops,56
show,ik3qar,show/ik3qar,57
show,isolate,show/isolate,58
show,lockout,show/lockout,62
show,log,show/log,64
show,moon,show/moon,66
show,motd,show/motd,67
show,msg_status,show/msg_status,68
show,muf,show/muf,69
show,newconfiguration,show/newconfiguration,71
show,node,show/node,72
show,prefix,show/prefix,78
show,program,show/program,80
show,qra,show/qra,82
show,qrz,show/qrz,83
show,rbn,show/rbn,85
show,rcmd,show/rcmd,89
show,registered,show/registered,90
show,route,show/route,87
show,satellite,show/satellite,91
show,seeme,show/seeme,92
show,spotstats,show/spotstats,97
show,startup,show/startup,98
show,station,show/station,99
show,sun,show/sun,100
show,talk,show/talk,101
show,time,show/time,102
show,usdb,show/usdb,103
show,users,show/users,
show,var,show/var,107
show,version,show/version,109
show,vhfstats,show/vhfstats,110
show,vhftable,show/vhftable,111
show,wcy,show/wcy,115
show,wm7d,show/wm7d,117
show,wwv,show/wwv,118
show,wx,show/wx,119
stat,channel,stat/channel,159
stat,db,stat/db,160
stat,msg,stat/msg,161
stat,nodeconfig,stat/nodeconfig,162
stat,pc19list,stat/pc19list,163
stat,route,stat/route,164
stat,route_node,stat/route_node,165
stat,route_user,stat/route_user,166
stat,user,stat/user,167
stat,userconfig,stat/userconfig,168
unset,agwengine,unset/agwengine,6
unset,agwmonitor,unset/agwmonitor,7
unset,announce,unset/announce,4
unset,anntalk,unset/anntalk,8
unset,baddx,unset/baddx,10
unset,badnode,unset/badnode,12
unset,badspotter,unset/badspotter,13
unset,badword,unset/badword,14
unset,beep,unset/beep,17
unset,believe,unset/believe,18
unset,buddy,unset/buddy,19
unset,debug,unset/debug,30
unset,dx,unset/dx,37
unset,dxcq,unset/dxcq,38
unset,dxgrid,unset/dxgrid,39
unset,dxitu,unset/dxitu,40
unset,echo,unset/echo,44
unset,email,unset/email,45
unset,gtk,unset/gtk,51
unset,here,unset/here,53
unset,hops,unset/hops,56
unset,isolate,unset/isolate,58
unset,local_node,unset/local_node,60
unset,lockout,unset/lockout,62
unset,logininfo,unset/logininfo,63
unset,passphrase,unset/passphrase,75
unset,password,unset/password,76
unset,privilege,unset/privilege,79
unset,prompt,unset/prompt,81
unset,register,unset/register,86
unset,routepc19,unset/routepc19,88
unset,seeme,unset/seeme,92
unset,send_dbg,unset/send_dbg,94
unset,sendpc16,unset/sendpc16,95
unset,startup,unset/startup,98
unset,talk,unset/talk,101
unset,usstate,unset/usstate,106
unset,ve7cc,unset/ve7cc,108
unset,wantpc16,unset/wantpc16,112
unset,wantpc9x,unset/wantpc9x,113
unset,wantrbn,unset/wantrbn,114
unset,wcy,unset/wcy,115
unset,wwv,unset/wwv,118
unset,wx,unset/wx,119
